display  D   display_settings.c:506  _al_score_display_settings       [   0.01520] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01521] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01522] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.01523] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01524] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01525] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01526] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01527] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01528] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01529] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01530] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01531] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01532] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01533] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01534] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01535] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01536] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01537] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01539] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01540] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01541] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01542] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01543] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01544] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01545] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01546] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01547] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01548] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01549] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01550] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01551] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01552] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01553] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01554] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01555] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01556] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01557] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01558] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.01559] Single Buffer requirement not met.
