display  D   display_settings.c:377  _al_score_display_settings       [   0.02457] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02458] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02459] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02459] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02460] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02461] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02462] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02466] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02467] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02468] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02469] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02469] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02470] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02471] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02471] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02472] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02473] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02474] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02474] Single Buffer requirement not met.
